numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20220201000000;102680;-80;8;290;3.100000;276.250000;274.650000;89;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101770;mq;mq;560;mq;mq;mq;mq;273.250000;mq;mq;5.000000;5.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;1.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20220201000000;102590;-10;6;260;4.100000;273.650000;271.050000;83;38170;0;mq;mq;mq;5;1750;mq;mq;mq;101990;mq;mq;680;mq;mq;mq;mq;273.450000;mq;mq;4.400000;5.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;2.400000;mq;mq;mq;mq;5;mq;1620;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20220201000000;103030;-70;8;290;6.400000;282.650000;279.150000;79;14000;2;2;mq;100;8;1250;32;mq;mq;102920;mq;mq;620;mq;mq;mq;mq;mq;mq;mq;9.000000;10.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;8;8;1000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20220201000000;103040;-40;8;270;5.700000;278.050000;276.250000;88;36020;0;mq;mq;90;7;3300;mq;mq;mq;102200;mq;mq;550;mq;mq;mq;mq;276.850000;mq;mq;7.600000;7.600000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.200000;mq;mq;mq;mq;1;mq;3300;7;mq;4260;mq;mq;mq;mq;mq;mq;
07037;20220201000000;102810;-20;8;260;2.900000;276.250000;272.950000;79;19040;0;mq;mq;75;6;800;mq;mq;mq;100900;mq;mq;490;mq;mq;mq;mq;273.650000;mq;mq;3.700000;5.300000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;1;mq;900;5;mq;1230;6;mq;1410;mq;mq;mq;
07072;20220201000000;102650;80;0;270;2.700000;277.050000;271.250000;66;20000;0;mq;mq;100;6;1250;mq;mq;mq;101460;mq;mq;320;mq;mq;mq;mq;275.350000;mq;mq;4.000000;8.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;6;mq;1290;8;mq;1680;mq;mq;mq;mq;mq;mq;
07110;20220201000000;103460;-60;8;290;2.400000;281.550000;279.550000;87;19700;0;mq;mq;100;2;450;mq;mq;mq;102240;mq;mq;430;mq;mq;mq;mq;278.050000;mq;mq;4.100000;6.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;2;mq;480;5;mq;2040;8;mq;2520;mq;mq;mq;
07117;20220201000000;103330;-20;8;270;4.200000;282.350000;279.650000;83;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102610;mq;mq;520;mq;mq;mq;mq;mq;mq;mq;6.700000;8.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20220201000000;103320;40;0;250;2.700000;278.050000;276.550000;90;28440;0;mq;mq;100;1;800;mq;mq;mq;102850;mq;mq;480;mq;mq;mq;mq;275.950000;mq;mq;4.100000;4.300000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;1.400000;1.400000;mq;mq;mq;mq;1;mq;930;7;mq;2340;7;mq;2640;mq;mq;mq;
07139;20220201000000;103130;60;0;270;3.300000;276.350000;274.750000;89;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101310;mq;mq;440;mq;mq;mq;mq;278.250000;mq;mq;5.000000;5.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20220201000000;102920;40;0;260;3.600000;274.050000;270.850000;79;20000;3;0;0;10;1;1750;35;20;10;101780;mq;mq;420;mq;mq;mq;mq;mq;mq;mq;4.300000;4.800000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.200000;1.000000;mq;mq;mq;mq;1;6;1500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20220201000000;102830;120;2;290;6.000000;276.250000;271.450000;71;20000;0;mq;mq;100;8;1750;mq;mq;mq;101350;mq;mq;250;mq;mq;mq;mq;275.050000;mq;mq;7.700000;7.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;8;mq;1740;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20220201000000;102510;110;1;290;7.200000;275.250000;272.450000;82;29560;0;mq;mq;100;7;800;mq;mq;mq;98180;mq;mq;40;mq;mq;mq;mq;273.850000;mq;mq;10.400000;10.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;2.200000;mq;mq;mq;mq;6;mq;660;7;mq;870;8;mq;2040;mq;mq;mq;
07190;20220201000000;102150;170;1;290;8.000000;277.450000;272.850000;72;36360;0;mq;mq;90;7;1250;mq;mq;mq;100280;mq;mq;-210;mq;mq;mq;mq;275.850000;mq;mq;12.400000;13.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.400000;mq;mq;mq;mq;7;mq;1140;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20220201000000;103530;30;3;310;4.400000;281.850000;278.750000;81;15000;1;0;mq;50;4;2500;30;27;10;102990;mq;mq;450;mq;mq;mq;mq;mq;mq;mq;7.100000;7.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;4;6;2500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20220201000000;103400;100;1;310;2.700000;278.350000;276.350000;87;19970;0;mq;mq;mq;5;2880;mq;mq;mq;103070;mq;mq;390;mq;mq;mq;mq;277.350000;mq;mq;4.300000;5.800000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.200000;mq;mq;mq;mq;1;mq;2880;5;mq;4080;mq;mq;mq;mq;mq;mq;
